Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.29     0.00        1     0.00     0.00  Light::Light(Color, Vector)
  0.00      0.29     0.00        1     0.00     0.00  Scene::addPrimitive(Primitive*)
  0.00      0.29     0.00        1     0.00     0.00  Scene::addLight(Light)
  0.00      0.29     0.00        1     0.00     0.00  Scene::operator=(Scene const&)
  0.00      0.29     0.00        1     0.00     0.00  Sphere::Sphere(Vector, float, Properties)
  0.00      0.29     0.00        1     0.00     0.00  Primitive::Primitive()
  0.00      0.29     0.00        1     0.00     0.00  RayTracer::ScreenItrInfo()
  0.00      0.29     0.00        1     0.00   290.00  RayTracer::trace(int)
  0.00      0.29     0.00        1     0.00     0.00  RayTracer::RayTracer()
  0.00      0.29     0.00        1     0.00     0.00  RayTracer::~RayTracer()
  0.00      0.29     0.00        1     0.00     0.00  ScreenItr::ScreenItr()
  0.00      0.29     0.00        1     0.00     0.00  void __gnu_cxx::new_allocator<Light>::construct<Light, Light const&>(Light*, Light const&)
  0.00      0.29     0.00        1     0.00     0.00  void __gnu_cxx::new_allocator<Primitive*>::construct<Primitive*, Primitive* const&>(Primitive**, Primitive* const&)
  0.00      0.29     0.00        1     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<Light>, Light>::_S_propagate_on_copy_assign()
  0.00      0.29     0.00        1     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<Primitive*>, Primitive*>::_S_propagate_on_copy_assign()
  0.00      0.29     0.00        1     0.00     0.00  __gnu_cxx::__normal_iterator<Light*, std::vector<Light, std::allocator<Light> > >::difference_type __gnu_cxx::operator-<Light*, std::vector<Light, std::allocator<Light> > >(__gnu_cxx::__normal_iterator<Light*, std::vector<Light, std::allocator<Light> > > const&, __gnu_cxx::__normal_iterator<Light*, std::vector<Light, std::allocator<Light> > > const&)
  0.00      0.29     0.00        1     0.00     0.00  __gnu_cxx::__normal_iterator<Primitive**, std::vector<Primitive*, std::allocator<Primitive*> > >::difference_type __gnu_cxx::operator-<Primitive**, std::vector<Primitive*, std::allocator<Primitive*> > >(__gnu_cxx::__normal_iterator<Primitive**, std::vector<Primitive*, std::allocator<Primitive*> > > const&, __gnu_cxx::__normal_iterator<Primitive**, std::vector<Primitive*, std::allocator<Primitive*> > > const&)
  0.00      0.29     0.00        1     0.00     0.00  std::vector<Light, std::allocator<Light> >::_M_check_len(unsigned int, char const*) const
  0.00      0.29     0.00        1     0.00     0.00  std::vector<Light, std::allocator<Light> >::capacity() const
  0.00      0.29     0.00        1     0.00     0.00  std::vector<Primitive*, std::allocator<Primitive*> >::_M_check_len(unsigned int, char const*) const
  0.00      0.29     0.00        1     0.00     0.00  std::vector<Primitive*, std::allocator<Primitive*> >::end() const
  0.00      0.29     0.00        1     0.00     0.00  std::vector<Primitive*, std::allocator<Primitive*> >::begin() const
  0.00      0.29     0.00        1     0.00     0.00  std::vector<Primitive*, std::allocator<Primitive*> >::capacity() const
  0.00      0.29     0.00        1     0.00     0.00  Primitive** std::__copy_move<false, true, std::random_access_iterator_tag>::__copy_m<Primitive*>(Primitive* const*, Primitive* const*, Primitive**)
  0.00      0.29     0.00        1     0.00     0.00  void std::allocator_traits<std::allocator<Light> >::construct<Light, Light const&>(std::allocator<Light>&, Light*, Light const&)
  0.00      0.29     0.00        1     0.00     0.00  void std::allocator_traits<std::allocator<Primitive*> >::construct<Primitive*, Primitive* const&>(std::allocator<Primitive*>&, Primitive**, Primitive* const&)
  0.00      0.29     0.00        1     0.00     0.00  Primitive** std::__uninitialized_copy<true>::__uninit_copy<__gnu_cxx::__normal_iterator<Primitive* const*, std::vector<Primitive*, std::allocator<Primitive*> > >, Primitive**>(__gnu_cxx::__normal_iterator<Primitive* const*, std::vector<Primitive*, std::allocator<Primitive*> > >, __gnu_cxx::__normal_iterator<Primitive* const*, std::vector<Primitive*, std::allocator<Primitive*> > >, Primitive**)
  0.00      0.29     0.00        1     0.00     0.00  void std::vector<Light, std::allocator<Light> >::_M_realloc_insert<Light const&>(__gnu_cxx::__normal_iterator<Light*, std::vector<Light, std::allocator<Light> > >, Light const&)
